PAIS,2020
Chad,"4,5 %"
Ruanda,"9,9 %"
Japón,"0,0 %"
Ecuador,"-0,3 %"
Suiza,"-0,7 %"
Bolivia,"0,9 %"
China,"2,4 %"
Granada,"-0,7 %"
Grecia,"-1,2 %"
Tailandia,"-0,8 %"
Portugal,"0,0 %"
Marruecos,"0,7 %"
Israel,"-0,6 %"
Indonesia,"1,9 %"
Hong Kong *,"0,3 %"
Panamá,"-1,6 %"
Francia,"0,5 %"
Costa Rica,"0,7 %"
Dinamarca,"0,4 %"
Italia,"-0,1 %"
Antigua y Barbuda,"0,6 %"
Suecia,"0,5 %"
Finlandia,"0,3 %"
Camerún,"2,4 %"
Catar,"-2,5 %"
Singapur,"-0,2 %"
Vanuatu,"5,3 %"
Irlanda,"-0,3 %"
Montenegro,"-0,3 %"
Bélgica,"0,7 %"
Malasia,"-1,1 %"
Corea del Sur,"0,5 %"
Reino Unido,"1,0 %"
Luxemburgo,"0,8 %"
Países Bajos,"1,3 %"
Australia,"0,8 %"
Bahamas,"0,0 %"
Cambodia,"2,9 %"
Arabia Saudita,"3,4 %"
España,"-0,3 %"
Alemania,"0,5 %"
Canadá,"0,7 %"
El Salvador,"-0,4 %"
Noruega,"1,3 %"
Colombia,"2,5 %"
Laos,"5,1 %"
Níger,"2,9 %"
Chequia,"3,2 %"
Malí,"0,4 %"
Filipinas,"2,4 %"
Nueva Zelandia,"1,7 %"
Isla Mauricio,"2,6 %"
Serbia,"1,6 %"
Nepal,"5,1 %"
Costa de Marfil,"2,4 %"
República Centroafricana,"1,7 %"
Guatemala,"3,2 %"
Perú,"2,0 %"
Islandia,"2,8 %"
Honduras,"3,5 %"
Papúa Nueva Guinea,"4,9 %"
Chile,"3,0 %"
Sudáfrica,"3,2 %"
Estonia,"-0,4 %"
Lituania,"1,2 %"
Estados Unidos,"1,2 %"
Paraguay,"1,8 %"
Nicaragua,"3,7 %"
Guayana,"1,0 %"
Rumania,"2,6 %"
Polonia,"3,4 %"
Moldavia,"3,8 %"
Hungría,"3,3 %"
India,"6,6 %"
Bangladesh,"5,7 %"
Egipto,"5,0 %"
México,"3,4 %"
Túnez,"5,6 %"
Jamaica,"5,2 %"
Iraq,"0,6 %"
Lesotho,"5,0 %"
Kenia,"5,4 %"
Azerbaiyán,"2,8 %"
Rusia,"3,4 %"
Sri Lanka,"6,2 %"
Mongolia,"3,7 %"
Armenia,"1,2 %"
Argelia,"2,4 %"
Botsuana,"1,9 %"
Bután,"5,6 %"
Gambia,"5,9 %"
Uruguay,"9,8 %"
República Dominicana,"3,8 %"
Brasil,"3,2 %"
Burundi,"7,3 %"
Belarús,"5,5 %"
Pakistán,"9,7 %"
Georgia,"5,2 %"
Ghana,"9,9 %"
Sudán del Sur,"29,7 %"
Sierra Leona,"13,4 %"
Kirguistán,"6,3 %"
Guinea,"10,6 %"
Haití,"22,8 %"
Nigeria,"13,2 %"
Turquía,"12,3 %"
Zambia,"15,7 %"
Etiopía,"20,4 %"
Surinam,"34,9 %"
Zimbabue,"557,2 %"
Líbano,"84,9 %"
Sudán,"150,3 %"
